year,Indicator,% Change,% GDP
2016,Private Investment,41.6,26.52
2015,Private Investment,0.25,21.66
2014,Private Investment,32.3,22.79
2013,Private Investment,19.33,18.68
2012,Private Investment,25.22,18.15
2011,Private Investment,7.3,16.08
2010,Private Investment,8.38,16.75
2009,Private Investment,26.66,17.71
2008,Private Investment,14.65,16.87
2007,Private Investment,13.02,17.83
2006,Private Investment,9.04,17.68
2005,Private Investment,17.64,18.04
2004,Private Investment,6.47,17.02
2003,Private Investment,13.04,17.55
2002,Private Investment,15.05,16.93
2001,Private Investment,8.64,15.77
2000,Private Investment,42.23,15.1
1999,Private Investment,13.31,12.36
1998,Private Investment,-3.32,12.1
1997,Private Investment,3.38,14.23
1996,Private Investment,7.66,14.76
1995,Private Investment,15.49,15.45
1994,Private Investment,16.22,15.19
1993,Private Investment,12.32,14.38
1992,Private Investment,34.65,14.87
1991,Private Investment,34.39,12.67
1990,Private Investment,56.04,11.71
1989,Private Investment,6.41,8.74
1988,Private Investment,7.05,9.51
1987,Private Investment,11.74,10.31
1986,Private Investment,28.54,11.11
1985,Private Investment,-4.08,9.91
1984,Private Investment,52.79,12.36
1983,Private Investment,3.66,9.59
1982,Private Investment,22.06,10.75
1981,Private Investment,20.27,9.61
1980,Private Investment,11.78,9.7
1979,Private Investment,4.24,9.49
1978,Private Investment,-2.57,8.13
1977,Private Investment,15.34,11.06
1976,Private Investment,4.42,10.94
1975,Private Investment,5.41,10.41
1974,Private Investment,,10.35
