year,Indicator,% Change,% GDP
2016,Non-Agriculture GDP.,19.11,72.38
2015,Non-Agriculture GDP.,5.84,70.29
2014,Non-Agriculture GDP.,9.82,70.06
2013,Non-Agriculture GDP.,18.07,69.17
2012,Non-Agriculture GDP.,13.63,67.9z
2011,Non-Agriculture GDP.,14.86,66.32
2010,Non-Agriculture GDP.,10.64,64.51
2009,Non-Agriculture GDP.,17.43,66.82
2008,Non-Agriculture GDP.,19.39,68.68
2007,Non-Agriculture GDP.,13.47,69.69
2006,Non-Agriculture GDP.,13.25,68.84
2005,Non-Agriculture GDP.,13.42,67.63
2004,Non-Agriculture GDP.,11.24,66.18
2003,Non-Agriculture GDP.,9.77,65.32
2002,Non-Agriculture GDP.,8.89,64.89
2001,Non-Agriculture GDP.,2.61,63.85
2000,Non-Agriculture GDP.,21.99,64.75
1999,Non-Agriculture GDP.,11.78,61.76
1998,Non-Agriculture GDP.,11.32,61.3
1997,Non-Agriculture GDP.,9.68,62.61
1996,Non-Agriculture GDP.,12.97,61.22
1995,Non-Agriculture GDP.,13.78,61.07
1994,Non-Agriculture GDP.,12.57,60.96
1993,Non-Agriculture GDP.,17.04,59.56
1992,Non-Agriculture GDP.,20.24,59.13
1991,Non-Agriculture GDP.,29.74,56.41
1990,Non-Agriculture GDP.,22.77,54
1989,Non-Agriculture GDP.,13.38,51.2
1988,Non-Agriculture GDP.,16.31,52.31
1987,Non-Agriculture GDP.,20.79,52.21
1986,Non-Agriculture GDP.,16.24,52.05
1985,Non-Agriculture GDP.,20.03,51.31
1984,Non-Agriculture GDP.,42.5,51.14
1983,Non-Agriculture GDP.,13.44,42.56
1982,Non-Agriculture GDP.,11.04,43.58
1981,Non-Agriculture GDP.,32.47,42.83
1980,Non-Agriculture GDP.,1.92,39.25
1979,Non-Agriculture GDP.,-22.97,42.1
1978,Non-Agriculture GDP.,57.35,48.85
1977,Non-Agriculture GDP.,17.7,41.12
1976,Non-Agriculture GDP.,16.82,39.88
1975,Non-Agriculture GDP.,14.19,33.91
1974,Non-Agriculture GDP.,,31.12
