कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
गोलभेडा ठूलो ,के.जी.,७५,८०,७८
गोलभेडा सानो,के.जी.,५०,६०,५५
अालु रातो,के.जी.,३५,३८,३६
अालु सेतो,के.जी.,३०,३५,३३
प्याज सुकेको,के.जी.,६६,६८,६७
गाजर,के.जी.,९५,१००,९८
बन्दा,के.जी.,५५,६०,५८
काउली स्थानिय,के.जी.,५०,६०,५५
मूला सेतो,के.जी.,२५,३०,२८
भन्टा लाम्चो,के.जी.,४५,५०,४८
भन्टा डल्लो,के.जी.,४५,५०,४८
बोडी,के.जी.,९०,९५,९२
मटरकोशा,के.जी.,९५,१००,९८
घिउ सिमी,के.जी.,६५,७०,६८
तितो करेला,के.जी.,७५,८०,७८
लौका,के.जी.,३५,४०,३८
परवर,के.जी.,५५,६०,५८
फर्सी पाकेको,के.जी.,२०,२५,२२
फर्सी हरियो,के.जी.,३५,४०,३८
भिण्डी,के.जी.,६५,७०,६८
बरेला,के.जी.,३५,४०,३८
पिंडालू,के.जी.,४५,५०,४८
स्कूस,के.जी.,१५,२०,१८
रायो साग,के.जी.,५०,५५,५३
पालूगो साग,के.जी.,९०,९५,९३
चमसूरको साग,के.जी.,९०,९५,९३
तोरीको साग,के.जी.,५०,५५,५३
मेथीको साग,के.जी.,९०,९५,९३
प्याज हरियो,के.जी.,१००,११०,१०५
तरुल,के.जी.,५५,६०,५८
च्याउ,के.जी.,१५०,१६०,१५५
ब्रोकाउली,के.जी.,९०,९५,९३
चुकुन्दर,के.जी.,७०,८०,७५
जिरीको साग,के.जी.,९०,९५,९३
सेलरी,के.जी.,१००,११०,१०५
पार्सले,के.जी.,१००,११०,१०५
सौफको साग,के.जी.,९०,९५,९३
पुदीना,के.जी.,१००,११०,१०५
गान्टे मूला,के.जी.,९०,९५,९३
इमली,के.जी.,११०,१२०,११५
तामा,के.जी.,१२०,१३०,१२५
तोफु,के.जी.,७०,८०,७५
गुन्दुक,के.जी.,१५०,१६०,१५५
स्याउ,के.जी.,९०,१००,९५
केरा,दर्जन,५०,५५,५३
कागती,१०० गोटा,५००,५५०,५२५
अनार,के.जी.,१५०,१६०,१५५
सुन्तला,के.जी.,७०,७५,७३
तरबुजा,के.जी.,५०,५५,५३
मौसम,के.जी.,८०,९०,८५
भुर्इ कटहर,प्रति गोटा,१००,११०,१०५
काक्रो,के.जी.,२५,३०,२८
नासपाती,के.जी.,९०,१००,९५
मेवा,के.जी.,७०,८०,७५
लप्सी,के.जी.,४०,४५,४३
अदुवा,के.जी.,५०,५५,५२
खु्र्सानी सुकेको,के.जी.,१९०,२००,१९५
खु्र्सानी हरियो,के.जी.,४५,५०,४८
भेडे खु्र्सानी,के.जी.,६०,६५,६२
लसुन हरियो,के.जी.,१४०,१५०,१४५
हरियो धनिया,के.जी.,३५०,३६०,३५५
लसुन सुकेको चाइनिज,के.जी.,१७०,१८०,१७५
लसुन सुकेको नेपाली,के.जी.,१७०,१८०,१७५
छ्यापी सुकेको,के.जी.,१८०,१९०,१८५
माछा ताजा,के.जी.,२४०,२५०,२४५
