कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
गोलभेडा ठूलो ,के.जी.,१००,११०,१०५
गोलभेडा सानो,के.जी.,९५,१००,९८
अालु रातो,के.जी.,४३,४५,४४
अालु सेतो,के.जी.,३५,४०,३८
प्याज सुकेको,के.जी.,६३,६५,६४
गाजर,के.जी.,८०,८५,८२
बन्दा,के.जी.,६०,६५,६२
काउली स्थानिय,के.जी.,१००,११०,१०५
मूला सेतो,के.जी.,२५,३०,२८
भन्टा लाम्चो,के.जी.,६०,६५,६२
बोडी,के.जी.,१००,११०,१०५
मटरकोशा,के.जी.,१००,११०,१०५
घिउ सिमी,के.जी.,९५,१००,९८
तितो करेला,के.जी.,८०,८५,८२
लौका,के.जी.,४०,४५,४२
परवर,के.जी.,६०,६५,६२
फर्सी पाकेको,के.जी.,२५,३०,२८
फर्सी हरियो,के.जी.,४५,५०,४८
भिण्डी,के.जी.,१००,११०,१०५
सखरखण्ड,के.जी.,४५,५०,४८
बरेला,के.जी.,३५,४०,३८
पिंडालू,के.जी.,४५,५०,४८
स्कूस,के.जी.,८,१०,९
रायो साग,के.जी.,५५,६०,५८
पालूगो साग,के.जी.,९०,९५,९३
चमसूरको साग,के.जी.,९०,९५,९३
तोरीको साग,के.जी.,५०,५५,५३
मेथीको साग,के.जी.,९०,९५,९३
प्याज हरियो,के.जी.,९०,१००,९५
तरुल,के.जी.,४५,५०,४८
च्याउ,के.जी.,१७०,१८०,१७५
चुकुन्दर,के.जी.,७०,८०,७५
जिरीको साग,के.जी.,५५,६०,५८
सेलरी,के.जी.,१००,११०,१०५
पार्सले,के.जी.,१००,११०,१०५
सौफको साग,के.जी.,९०,९५,९३
पुदीना,के.जी.,१००,११०,१०५
गान्टे मूला,के.जी.,५०,५५,५३
इमली,के.जी.,११०,१२०,११५
तामा,के.जी.,१२०,१३०,१२५
तोफु,के.जी.,७०,८०,७५
गुन्दुक,के.जी.,१६०,१७०,१६५
स्याउ,के.जी.,९०,१००,९५
केरा,दर्जन,५०,५५,५३
कागती,१०० गोटा,५००,५५०,५२५
अनार,के.जी.,१५०,१६०,१५५
सुन्तला,के.जी.,६०,७०,६५
तरबुजा,के.जी.,५०,५५,५३
मौसम,के.जी.,७०,८०,७५
भुर्इ कटहर,प्रति गोटा,१००,११०,१०५
काक्रो,के.जी.,८०,८५,८२
नासपाती,के.जी.,९०,१००,९५
मेवा,के.जी.,९०,१००,९५
लप्सी,के.जी.,३५,४०,३८
अदुवा,के.जी.,५०,५५,५२
खु्र्सानी सुकेको,के.जी.,१९०,२००,१९५
खु्र्सानी हरियो,के.जी.,७०,७५,७२
भेडे खु्र्सानी,के.जी.,१००,११०,१०५
लसुन हरियो,के.जी.,१४०,१५०,१४५
हरियो धनिया,के.जी.,३८०,३९०,३८५
लसुन सुकेको चाइनिज,के.जी.,१७०,१८०,१७५
लसुन सुकेको नेपाली,के.जी.,१९०,२००,१९५
छ्यापी सुकेको,के.जी.,१९०,२००,१९५
माछा ताजा,के.जी.,२४०,२५०,२४५
