कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
गोलभेडा ठूलो ,के.जी.,४०,४५,४२
गोलभेडा सानो,के.जी.,३५,४०,३८
अालु रातो,के.जी.,३०,३४,३२
अालु सेतो,के.जी.,२५,३०,२८
प्याज सुकेको,के.जी.,४०,४२,४१
गाजर,के.जी.,७५,८०,७८
बन्दा,के.जी.,४५,५०,४८
काउली स्थानिय,के.जी.,७५,८०,७८
मूला सेतो,के.जी.,३०,३५,३३
भन्टा लाम्चो,के.जी.,३५,४०,३८
बोडी,के.जी.,७५,८०,७८
घिउ सिमी,के.जी.,७५,८०,७८
तितो करेला,के.जी.,३५,४०,३८
लौका,के.जी.,३५,४०,३८
परवर,के.जी.,७५,८०,७८
चिचिण्डो,के.जी.,३५,४०,३८
घिरौला,के.जी.,३५,४०,३८
फर्सी पाकेको,के.जी.,४०,४५,४३
फर्सी हरियो,के.जी.,३५,४०,३८
भिण्डी,के.जी.,७५,८०,७८
पिंडालू,के.जी.,३५,४०,३८
स्कूस,के.जी.,२०,२५,२२
रायो साग,के.जी.,४०,४५,४३
पालूगो साग,के.जी.,५५,६०,५८
चमसूरको साग,के.जी.,५५,६०,५८
तोरीको साग,के.जी.,४०,४५,४३
मेथीको साग,के.जी.,५५,६०,५८
प्याज हरियो,के.जी.,१००,११०,१०५
च्याउ,के.जी.,१६०,१७०,१६५
चुकुन्दर,के.जी.,७०,८०,७५
जिरीको साग,के.जी.,५५,६०,५८
सेलरी,के.जी.,१००,११०,१०५
पार्सले,के.जी.,१००,११०,१०५
सौफको साग,के.जी.,५५,६०,५८
पुदीना,के.जी.,१००,११०,१०५
गान्टे मूला,के.जी.,५५,६०,५८
इमली,के.जी.,११०,१२०,११५
तामा,के.जी.,१२०,१३०,१२५
तोफु,के.जी.,७०,८०,७५
गुन्दुक,के.जी.,१९०,२००,१९५
स्याउ,के.जी.,९०,१००,९५
केरा,दर्जन,६०,७०,६५
कागती,१०० गोटा,६५०,७००,६७५
अनार,के.जी.,१५०,१६०,१५५
तरबुजा,के.जी.,५०,५५,५३
मौसम,के.जी.,५०,५५,५३
भुर्इ कटहर,प्रति गोटा,१००,११०,१०५
काक्रो,के.जी.,४०,४५,४२
नासपाती,के.जी.,४५,५०,४८
मेवा,के.जी.,६०,७०,६५
लप्सी,के.जी.,३०,३५,३३
अदुवा,के.जी.,५०,५५,५२
खु्र्सानी सुकेको,के.जी.,१९०,२००,१९५
खु्र्सानी हरियो,के.जी.,१००,११०,१०५
भेडे खु्र्सानी,के.जी.,१००,११०,१०५
लसुन हरियो,के.जी.,१५०,१६०,१५५
हरियो धनिया,के.जी.,२००,२१०,२०५
लसुन सुकेको चाइनिज,के.जी.,१७०,१८०,१७५
लसुन सुकेको नेपाली,के.जी.,१९०,२००,१९५
छ्यापी सुकेको,के.जी.,१९०,२००,१९५
छ्यापी हरियो,के.जी.,५५,६०,५८
माछा ताजा,के.जी.,२३५,२४०,२३८
